epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/loss,val/mAP
,2.50E-05,3909,,,,
10,,3909,,0.888118327,,
,2.50E-05,3919,,,,
10,,3919,,0.641845882,,
,2.50E-05,3929,,,,
10,,3929,,0.643503308,,
,2.50E-05,3939,,,,
10,,3939,,0.584068239,,
,2.50E-05,3949,,,,
10,,3949,,0.775086164,,
,2.50E-05,3959,,,,
10,,3959,,0.770869136,,
,2.50E-05,3969,,,,
10,,3969,,0.772594094,,
10,,3970,,,0,0.099735245
10,,3970,0.77161175,,,
,2.50E-05,3979,,,,
11,,3979,,0.894707978,,
,2.50E-05,3989,,,,
11,,3989,,1.079830647,,
,2.50E-05,3999,,,,
11,,3999,,0.771059632,,
,2.50E-05,4009,,,,
11,,4009,,0.888842821,,
,2.50E-05,4019,,,,
11,,4019,,0.769442677,,
,2.50E-05,4029,,,,
11,,4029,,0.929227412,,
,2.50E-05,4039,,,,
11,,4039,,0.684732735,,
,2.50E-05,4049,,,,
11,,4049,,0.811357975,,
,2.50E-05,4059,,,,
11,,4059,,0.56817323,,
,2.50E-05,4069,,,,
11,,4069,,0.888776422,,
,2.50E-05,4079,,,,
11,,4079,,0.723416865,,
,2.50E-05,4089,,,,
11,,4089,,0.658498824,,
,2.50E-05,4099,,,,
11,,4099,,0.809298515,,
,2.50E-05,4109,,,,
11,,4109,,0.730075121,,
,2.50E-05,4119,,,,
11,,4119,,0.512663841,,
,2.50E-05,4129,,,,
11,,4129,,0.591729462,,
,2.50E-05,4139,,,,
11,,4139,,0.855280101,,
,2.50E-05,4149,,,,
11,,4149,,0.683971703,,
,2.50E-05,4159,,,,
11,,4159,,0.997993886,,
,2.50E-05,4169,,,,
11,,4169,,0.496261805,,
,2.50E-05,4179,,,,
11,,4179,,0.643064141,,
,2.50E-05,4189,,,,
11,,4189,,0.880411506,,
,2.50E-05,4199,,,,
11,,4199,,0.847627163,,
,2.50E-05,4209,,,,
11,,4209,,0.7467556,,
,2.50E-05,4219,,,,
11,,4219,,0.949244618,,
,2.50E-05,4229,,,,
11,,4229,,0.839614868,,
,2.50E-05,4239,,,,
11,,4239,,0.816074431,,
,2.50E-05,4249,,,,
11,,4249,,0.535856962,,
,2.50E-05,4259,,,,
11,,4259,,0.831802905,,
,2.50E-05,4269,,,,
11,,4269,,0.720691919,,
,2.50E-05,4279,,,,
11,,4279,,0.59977144,,
,2.50E-05,4289,,,,
11,,4289,,0.62351644,,
,2.50E-05,4299,,,,
11,,4299,,0.720579386,,
,2.50E-05,4309,,,,
11,,4309,,0.731564939,,
,2.50E-05,4319,,,,
11,,4319,,0.532990992,,
,2.50E-05,4329,,,,
11,,4329,,0.62219137,,
11,,4331,,,0,0.094500765
11,,4331,0.730220556,,,
,2.50E-05,4339,,,,
12,,4339,,0.519370317,,
,2.50E-05,4349,,,,
12,,4349,,0.744953275,,
,2.50E-05,4359,,,,
12,,4359,,0.720011473,,
,2.50E-05,4369,,,,
12,,4369,,0.536866724,,
,2.50E-05,4379,,,,
12,,4379,,0.597242475,,
,2.50E-05,4389,,,,
12,,4389,,0.593951344,,
,2.50E-05,4399,,,,
12,,4399,,0.581833959,,
,2.50E-05,4409,,,,
12,,4409,,0.869213939,,
,2.50E-05,4419,,,,
12,,4419,,0.76636678,,
,2.50E-05,4429,,,,
12,,4429,,0.591895103,,
,2.50E-05,4439,,,,
12,,4439,,0.53128624,,
,2.50E-05,4449,,,,
12,,4449,,0.434434295,,
,2.50E-05,4459,,,,
12,,4459,,0.505760372,,
,2.50E-05,4469,,,,
12,,4469,,0.579858541,,
,2.50E-05,4479,,,,
12,,4479,,0.801325083,,
,2.50E-05,4489,,,,
12,,4489,,0.70611167,,
,2.50E-05,4499,,,,
12,,4499,,0.652942061,,
,2.50E-05,4509,,,,
12,,4509,,0.637207568,,
,2.50E-05,4519,,,,
12,,4519,,0.554302573,,
,2.50E-05,4529,,,,
12,,4529,,1.012541771,,
,2.50E-05,4539,,,,
12,,4539,,0.831172645,,
,2.50E-05,4549,,,,
12,,4549,,0.508313298,,
,2.50E-05,4559,,,,
12,,4559,,0.63081038,,
,2.50E-05,4569,,,,
12,,4569,,0.802010417,,
,2.50E-05,4579,,,,
12,,4579,,0.705560565,,
,2.50E-05,4589,,,,
12,,4589,,0.605721474,,
,2.50E-05,4599,,,,
12,,4599,,0.579704583,,
,2.50E-05,4609,,,,
12,,4609,,0.642249823,,
,2.50E-05,4619,,,,
12,,4619,,0.468377471,,
,2.50E-05,4629,,,,
12,,4629,,0.799760222,,
,2.50E-05,4639,,,,
12,,4639,,0.873116493,,
,2.50E-05,4649,,,,
12,,4649,,0.65847832,,
